p_id,p_name,price,day,time
201,Flowdesk,1267,25/02/2020,14:06:04
202,Fintone,714,04/02/2020,10:26:15
203,Transcof,1701,22/02/2020,22:05:01
204,Job,1047,26/02/2020,13:58:08
205,Bytecard,454,16/02/2020,5:09:52
206,Alpha,1182,01/02/2020,10:48:35
207,Alphazap,1021,21/02/2020,21:10:15
208,Y-Solowarm,803,19/02/2020,11:41:14
209,Wrapsafe,1969,11/02/2020,21:10:09
210,Solarbreeze,1630,20/02/2020,17:42:56
211,Solarbreeze,1807,19/02/2020,21:41:19
212,Bigtax,585,22/02/2020,16:19:31
213,Voltsillam,1091,08/02/2020,4:11:48
214,Bitwolf,910,28/02/2020,6:07:56
215,Domainer,551,02/02/2020,12:09:10
216,Lotlux,613,25/02/2020,10:05:58
217,Bamity,559,19/02/2020,12:12:24
218,Subin,856,21/02/2020,18:02:17
219,Zamit,833,01/02/2020,5:36:42
220,Keylex,1516,14/02/2020,9:34:00
221,Wrapsafe,454,06/02/2020,0:56:21
222,Lotstring,297,26/02/2020,11:49:36
223,Opela,771,25/02/2020,16:48:27
224,Wrapsafe,935,22/02/2020,1:52:28
225,Trippledex,1663,03/02/2020,13:31:53
226,Lotstring,1515,22/02/2020,0:38:49
227,Fix San,149,01/02/2020,1:32:55
228,Aerified,499,26/02/2020,21:54:21
229,Zathin,1408,19/02/2020,13:11:46
230,Cardguard,1696,07/02/2020,3:16:12
231,Sonair,993,12/02/2020,8:19:03
232,Latlux,1316,04/02/2020,17:27:44
233,Tresom,1690,03/02/2020,2:16:07
234,Bitchip,377,01/02/2020,2:18:00
235,Sonsing,583,06/02/2020,21:51:01
236,Aerified,1955,27/02/2020,1:03:58
237,Aerified,355,20/02/2020,11:45:30
238,Stronghold,498,04/02/2020,17:35:57
239,Konklab,1878,28/02/2020,1:50:08
240,Daltfresh,1429,27/02/2020,7:14:10
241,Subin,1462,12/02/2020,13:10:39
242,Greenlam,1942,22/02/2020,0:23:01
243,Tampflex,1341,17/02/2020,20:22:14
244,Daltfresh,169,20/02/2020,15:10:03
245,Home Ing,1127,18/02/2020,15:10:25
246,Zontrax,1107,11/02/2020,10:24:08
247,Domainer,153,14/02/2020,13:06:06
248,Y-Solowarm,1829,15/02/2020,0:27:42
249,Andalax,1857,15/02/2020,1:14:10
250,Alphazap,1194,06/02/2020,7:47:51
